Facility Name,Latitude (degrees),Longitude (degrees),2022 CO2 Emissions (tons)
Essex,40.7375,-74.1211,701
Essex Power Plant,36.8678,-89.8397,50859
Evander Andrews Power Complex,43.1794,-115.7328,353583
Exelon West Medway II,42.1375,-71.444,133704
Exira Station,41.5131,-94.9189,99841
ExxonMobil Beaumont Refinery,30.0639,-94.0703,2481280
F B Culley Generating Station,37.91,-87.3267,998966
Fairless Energy Center,40.1464,-74.7406,3253712
Faribault Energy Park,44.3353,-93.2894,284902
Fayette Power Company LLC,39.8592,-79.9182,2077890
Feather River Energy Center,39.1088,-121.6133,46659
Ferndale Generating Station,48.8283,-122.6853,511786
Fisk,41.8508,-87.6533,3625
Flint Creek Power Plant,36.2561,-94.5241,2971364
Fore River Energy Center,42.2417,-70.9653,1553196
Forked River Power,39.8154,-74.2098,6130
Forney Power Plant,32.7563,-96.4916,4023806
Fort Churchill,39.1281,-119.1319,385608
Fort Dodge aka Judson Large,37.7328,-99.9497,6459
Fort Martin Power Station,39.7107,-79.9275,5284387
Fort Myers,26.6967,-81.7831,4430841
Fort St. Vrain,40.2461,-104.8742,1396100
Fortistar North Tonawanda Inc,43.0483,-78.8539,28887
Fountain Valley Power Plant,38.5569,-104.6875,69465
Four Corners Steam Elec Station,36.69,-108.4814,10729005
Fox Energy Center,44.3204,-88.2089,1756952
Frank Knutson Station,39.9414,-104.6817,104112
Frank M Tait Station,39.7281,-84.2103,277150
Frederickson Power LP,47.0864,-122.3644,535247
Fredonia Generating Station,48.4553,-122.435,34872
Freedom Power Project,39.1025,-88.8589,1117
Freeport Power Plant No. 2,40.6447,-73.5683,33644
Freestone Power Generation,31.8907,-96.1128,2680230
Fremont Energy Center,41.3781,-83.1647,1663636
"Fresno Cogeneration Partners, LP",36.6183,-120.1,8070
Front Range Power Plant,38.6281,-104.7069,1159247
Frontera Generation Facility,26.208,-98.3992,1406748
Frontier Generating Station,35.442,-97.6477,204714
Fulton,33.6094,-93.7924,44924
G G Allen,35.1897,-81.0122,328771
Gadsby,40.7686,-111.9289,126051
Gadsden,34.0128,-85.9708,1246
Gallatin,36.3156,-86.4006,5156513
Gans Generating Facility,39.7475,-79.8388,84793
Garden City,37.9703,-100.8956,5087
Garrison Energy Center,39.1882,-75.4999,531524
Gateway Generating Station,38.0167,-121.7592,1066816
Gen J M Gavin,38.9347,-82.1158,12337612
George Neal North,42.3251,-96.3797,799270
George Neal South,42.3022,-96.3622,1118382
Georgetown Substation,39.9022,-86.2439,184338
Gerald Andrus,33.3503,-91.1181,523073
Gerald Gentleman Station,41.0808,-101.1408,7796418
Gerald Whelan Energy Center,40.5806,-98.3106,1701382
Germantown Power Plant,43.1952,-88.1496,26503
Ghent,38.7497,-85.035,10811977
Gibson,38.3722,-87.7661,9947608
"Gibson City Energy Center, LLC",40.4705,-88.3987,17678
Gila River Power Station,32.9761,-112.694,4486367
Gilbert Generating Station,40.5661,-75.165,65777
Gilberton Power Company,40.79,-76.1984,938439
"Gilroy Energy Center, LLC",36.999,-121.5363,17838
Gleason Combustion Turbine Plant,36.2454,-88.612,472891
Glenarm,34.1256,-118.1474,29771
Glendive Generating Station,47.0539,-104.74,1294
Glenwood,40.8269,-73.6479,3606
Glenwood Landing Energy Center,40.8275,-73.6478,124881
Goal Line,33.1185,-117.0995,5859
Goldendale Generating Station,45.8114,-120.833,600792
Goose Creek Power Plant,40.1083,-88.5986,3755
Goose Haven Energy Center,38.2271,-121.844,8738
Gordon Evans Energy Center,37.7903,-97.5217,135911
Gordonsville Power Station,38.1245,-78.2031,510649
Graham,33.135,-98.6117,132078
Grand River Dam Authority,36.1906,-95.2889,2481389
Granite Ridge Energy,42.9043,-71.4251,1461137
Grant Town Power Plant,39.5611,-80.1642,828980
Grapeland Generating Station,34.09,-117.534,7849
Gravel Neck Combustion Turbine,37.1575,-76.6911,28793
Grays Ferry Cogen Partnership,39.9417,-75.1883,698470
Grays Harbor Energy Center,46.9688,-123.48,1332374
Grayson Power Plant,34.1556,-118.2782,75899
Great Bend Station aka Arthur Mullergren,38.41,-98.8689,12506
Greater Des Moines Energy Center,41.5563,-93.5283,645222
"Green Country Energy, LLC",35.9833,-95.9346,1397421
Greene County,32.6017,-87.7811,817275
Greenidge Generation LLC,42.6789,-76.9483,343046
Greenland Energy Center,30.1603,-81.5164,349175
Greenleaf One,39.0536,-121.6942,3930
Greensville County Power Station,36.7184,-77.6523,4286145
Greenville Electric Gen Station,40.0747,-84.6147,123572
Greenwood,43.1056,-82.6964,328739
Gregory Power Facility,27.8881,-97.2572,376608
Griffith Energy Project,35.0517,-114.1334,1282441
Groton Generating Station,45.3718,-98.1032,97179
Guadalupe Generating Station,29.6237,-98.1395,2814066
Gulf Clean Energy Center,30.5661,-87.2289,1120164
H F Lee Steam Electric Plant,35.3775,-78.0875,3008713
H L Spurlock,38.7,-83.8175,9003446
H W Pirkey Power Plant,32.4607,-94.4852,3660122
HO Clarke Generating,29.6454,-95.4517,214873
Hagood,32.8265,-79.9634,18460
Hamilton Liberty Generation Plant,41.7674,-76.3899,2443452
Hamilton Patriot Generation Plant,41.8083,-76.8392,2507407
Hancock Peakers,42.5497,-83.4425,14886
Handley Generating Station,32.7278,-97.2186,787425
Handsome Lake Energy,41.2908,-79.8061,57897
Hanford Energy Park Peaker,36.2689,-119.6469,11410
Hanging Rock Power Company LLC,38.5731,-82.7833,4287920
Harbor Generating Station,33.7691,-118.2662,72609
Hardee Power Station,27.6364,-81.9636,8105
Hardin County Peaking Facility,30.3039,-94.2527,89507
Hardin Generating Station,45.7578,-107.6,796910
Hargis-Hebert Electric Generating Statio,30.1694,-91.9923,55139
Harlem River Yard,40.7989,-73.9147,74509
Harrington Station,35.2972,-101.7475,5138541
Harrison County Power Project,32.3958,-94.4361,1185185
Harrison Power Station,39.3844,-80.3325,12787135
Harry Allen,36.425,-114.9,1309619
Harry D. Mattison Power Plant,36.1855,-94.2841,152166
Hartwell Energy Facility,34.3387,-82.8207,212897
Hawk Road Energy Facility,33.3577,-84.9912,538743
"Hawkeye Energy Greenport, LLC",41.1056,-72.3767,28069
Hawthorn,39.1306,-94.4778,3601720
Hay Road,39.7436,-75.5072,708329
Hayden,40.4856,-107.185,3385128
Haynes Generating Station,33.7639,-118.0942,1174477
Hays Energy Facility,29.7806,-97.9894,1571188
Hazleton Generation,40.9282,-76.0416,13621
Helix Ironwood LLC,40.3509,-76.3658,2254756
Hell Gate,40.7988,-73.9093,73633
Henrietta Peaker Plant,36.2397,-119.9044,29106
Henry County Generating Station,39.9528,-85.5039,122147
Herbert A Wagner,39.1781,-76.5268,185500
Hermiston,45.8042,-119.37,1103364
Hermiston Power Plant,45.7934,-119.313,1684950
Hibbard Energy Center,46.7356,-92.1531,274449
Hickory Run Energy Station,40.9951,-80.4301,2515357
High Bridge,44.9331,-93.1075,832710
High Desert Power Project,34.5953,-117.3647,1806391
Hill Top Energy Center,39.8931,-79.9308,1632227
Hillabee Energy Center,33,-85.9031,2121565
Hillburn,41.1269,-74.1653,1346
Hinds Energy Facility,32.3781,-90.2169,1275666
Hines Energy Complex,27.7886,-81.8694,5177444
Hobbs Generating Station,32.7282,-103.3095,1524538
Hog Bayou Energy Center,30.7478,-88.0575,690986
Holcomb,37.9306,-100.9725,1824554
Holden Power Plant,38.7538,-93.9983,149134
Holland Energy Facility,39.2242,-88.7594,886656
Holland Energy Park,42.793,-86.0925,359128
Holtsville Facility,40.8153,-73.0664,37080
Homer City,40.511,-79.1968,3833417
Hoosier Energy Lawrence Co Station,38.8003,-86.4511,38144
Hopewell Cogeneration Facility,37.2914,-77.2821,349553
Hopewell Power Station,37.2969,-77.2833,585212
Horseshoe Lake,35.5089,-97.1789,419084
Hot Spring Energy Facility,34.2963,-92.8683,1471261
Howard M Down,39.4889,-75.0347,41192
Hugo,34.0158,-95.3206,1068497
Hummel Station,40.839,-76.8255,3207976
Hunlock Creek Energy Center,41.2033,-76.0683,344480
Hunlock Unit 4,41.2033,-76.0683,30429
Hunter,39.1747,-111.0289,8220992
Hunterstown Combined Cycle,39.8725,-77.1672,2488221
Huntington,39.3792,-111.0781,6248340
Hutchinson - Plant 2,44.8889,-94.35,10425
IPL - Eagle Valley Generating Station,39.4851,-86.4176,1675444
IPL - Harding Street Station (EW Stout),39.7119,-86.1975,932533
IPL - Petersburg Generating Station,38.5267,-87.2525,8783214
Iatan,39.4472,-94.98,5872957
Indeck-Corinth Energy Center,43.25,-73.8125,295010
Indeck-Niles Energy Center,41.8621,-86.2213,1265294
Indeck-Olean Energy Center,42.0875,-78.4578,54041
Indeck-Oswego Energy Center,43.4682,-76.4965,7214
Indeck-Silver Springs Energy Center,42.6544,-78.0772,8942
Indeck-Yerkes Energy Center,42.9671,-78.9182,8890
Independence,43.495,-76.4508,1579205
Independence,35.6733,-91.4083,5655310
Indian River,38.5857,-75.2341,169755
Indian River (683),28.4933,-80.7825,58608
Indigo Generation Facility,33.9114,-116.5533,20584
Intercession City,28.2628,-81.5486,323429
Intermountain,39.5035,-112.5811,5780885
Interstate,39.8233,-89.5888,905
Irvington Generating Station,32.16,-110.9047,380535
Island Street Peaking Plant,44.2761,-88.2656,8577
Ivanpah 1,35.5356,-115.4515,15767
Ivanpah 2,35.5561,-115.4686,18430
Ivanpah 3,35.5808,-115.4825,13969
J C McNeil,44.4917,-73.2081,375581
J D Kennedy,30.3644,-81.6236,160805
J H Campbell,42.9103,-86.2036,8529969
J K Spruce,29.3091,-98.3205,7718659
J M Shafer,40.0979,-104.7745,438547
J P Madgett,44.3026,-91.9126,2480712
J R Kelly,29.6467,-82.3219,340736
J Robert Massengale Generating Station,33.6039,-101.8408,9026
Jack County Generation Facility,33.101,-97.9574,2367513
Jack McDonough,33.8244,-84.475,7366519
Jackson Generating Station,42.2488,-84.3767,1115996
"Jackson Generation, LLC",41.4388,-88.111,2079325
James H Miller Jr,33.6319,-87.0597,23814854
James River,37.1086,-93.2592,117734
Jasper County Generating Facility,32.3592,-81.1236,2175036
Jeffrey Energy Center,39.2825,-96.1153,10361114
Jim Bridger,41.7378,-108.7875,12155439
John E Amos,38.4731,-81.8233,8077842
John S. Cooper,37,-84.5917,611762
John S. Rainey Generating Station,34.3477,-82.776,2856006
John Sevier,36.3767,-82.9639,1923703
John Twitty Energy Center,37.1519,-93.3892,2741292
John W. Turk Jr. Power Plant,33.6497,-93.8119,3654254
Johnson County Generation Facility,32.3994,-97.4078,523865
Johnsonville,36.0278,-87.9861,638171
Joliet 29,41.4947,-88.125,341042
Joliet 9,41.4947,-88.125,10175
Jones Station,33.5239,-101.7392,1051387
Joppa Steam,37.2103,-88.8606,4254759
KIAC Cogeneration,40.6417,-73.7778,320353
